City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Ahipara,NZ,60.53,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
258,Bubaque,GW,82.31,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
263,Saint-Philippe,RE,71.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
264,Tuy Hoa,VN,76.42,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
266,Kadoma,JP,70.66,clear sky,34.7333,135.5833,Hotel Agora Osaka Moriguchi
268,Santa Rosa,PH,79.92,heavy intensity rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
269,Dingle,PH,75.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
271,Mandan,US,84.04,clear sky,46.8267,-100.8896,Twin City Estates
272,Atambua,ID,71.55,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
274,Luba,GQ,78.96,scattered clouds,3.4568,8.5547,
275,Ayame,CI,74.95,overcast clouds,5.6083,-3.1563,Hotel Bossan
276,Praia,CV,80.24,broken clouds,14.9215,-23.5087,LT Aparthotel
278,North Bend,US,66.85,haze,43.4065,-124.2243,Red Lion Hotel Coos Bay
279,Naze,JP,77.22,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
280,Mabaruma,GY,78.19,broken clouds,8.2,-59.7833,Monty Brooms Guest House
281,Touros,BR,79.83,few clouds,-5.1989,-35.4608,INN NEW HORIZON
282,Woodstock,CA,70.93,overcast clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
285,Westport,US,79.05,broken clouds,41.1415,-73.3579,The Westport Inn
287,Fortuna,US,80.42,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
289,Pringsewu,ID,74.28,light rain,-5.3582,104.9744,Urban Style by Front One
290,Stupava,SK,66.09,clear sky,48.2747,17.0317,Intersport hotel Stupava
291,Nikki,BJ,76.98,scattered clouds,9.9401,3.2108,Hotel John
293,Taltal,CL,63.68,few clouds,-25.4,-70.4833,Residencial Karime
294,Bambous Virieux,MU,73.22,light rain,-20.3428,57.7575,Casa Tia Villa
295,Umm Lajj,SA,81.79,clear sky,25.0213,37.2685,Moon light Furnished Units
296,Tirumakudal Narsipur,IN,73.2,overcast clouds,12.21,76.9064,NOOBA MANZIL
298,Kiryas Joel,US,78.37,overcast clouds,41.342,-74.1679,Americas Best Value Inn Central Valley
299,Kupang,ID,75.79,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
300,Bandarbeyla,SO,78.69,overcast clouds,9.4942,50.8122,JABIR HOTEL
301,Alofi,NU,73.29,light rain,-19.0595,-169.9187,Taloa Heights
304,Rivadavia,AR,64.51,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
306,Limbang,MY,75.31,overcast clouds,4.75,115.0,Purnama Hotel
308,Ishigaki,JP,83.08,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
310,Ormara,PK,81.54,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
311,Thinadhoo,MV,83.01,broken clouds,0.5333,72.9333,
312,Bathsheba,BB,83.35,few clouds,13.2167,-59.5167,Atlantis Hotel
317,Kandrian,PG,75.65,broken clouds,-6.2167,149.55,Kandrian Station
320,Alghero,IT,68.09,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
322,Tocopilla,CL,65.41,few clouds,-22.092,-70.1979,Hotel Galvarino
324,Talusan,PH,78.85,overcast clouds,7.4267,122.8103,Niesas Lodging House
329,Cayeli,TR,61.65,moderate rain,41.0923,40.7292,Grand Cavusoglu Hotel
330,Hwange,ZW,77.38,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
332,Berat,AL,64.76,broken clouds,40.7058,19.9522,White City Hotel
334,Dzaoudzi,YT,75.09,few clouds,-12.7887,45.2699,Le Rocher
336,Innisfail,AU,70.86,clear sky,-17.5333,146.0333,Moondarra Motel
340,Sioux Lookout,CA,64.31,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
342,Tual,ID,80.69,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
345,Ghanzi,BW,63.54,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
346,Makakilo City,US,80.29,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
347,Mount Isa,AU,73.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
350,Englewood,US,79.79,clear sky,39.6478,-104.9878,Holiday Motel
351,Kizukuri,JP,70.95,few clouds,40.8061,140.3861,Hotel memory
352,Talegaon Dabhade,IN,73.13,broken clouds,18.7167,73.6833,Maval Grrand
353,Bara,NG,81.73,clear sky,10.3744,10.7288,
357,Tugdan,PH,79.72,light rain,12.3134,122.0853,Monte Carlo Restaurant & Airport Pension House
359,Rio Grande,BR,62.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
361,Katsuura,JP,71.71,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
365,Binzhou,CN,69.75,light rain,37.3667,118.0167,Hampton By Hilton Binzhou
366,Mizdah,LY,72.19,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
367,Cidreira,BR,66.88,light rain,-30.1811,-50.2056,Hotel Castelo
369,Woodward,US,83.43,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
370,San Vicente,AR,68.43,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
373,Det Udom,TH,74.44,overcast clouds,14.906,105.0784,Chatsuda Resort
374,Salalah,OM,79.63,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
376,Ambilobe,MG,70.2,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
379,Gibraleon,ES,67.01,scattered clouds,37.3763,-6.969,Finca Caja del Agua
383,Mahibadhoo,MV,83.07,clear sky,3.7833,72.9667,Omadhoo Inn
385,Tianpeng,CN,71.51,light rain,30.9866,103.9393,Shuangliu Love Home Business Hotel
386,Anamur,TR,73.83,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
389,Matara,LK,77.67,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
392,Axim,GH,77.72,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
393,Saint Anthony,US,73.74,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
394,Antalaha,MG,69.13,light rain,-14.9003,50.2788,Hotel Vitasoa
395,Twante,MM,77.13,overcast clouds,16.7167,95.9333,Dream Land
399,Quelimane,MZ,78.62,clear sky,-17.8786,36.8883,Hotel Flamingo
401,Barpathar,IN,73.18,overcast clouds,26.3,93.8667,chandan jyoti borah
404,Olopa,GT,75.51,broken clouds,14.6833,-89.35,Eco Muro
405,Beziers,FR,63.68,overcast clouds,43.3476,3.219,Hôtel Terminus
406,Coruripe,BR,78.06,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
409,Palmer,US,74.32,overcast clouds,42.1584,-72.3287,Wedgewood Motel
