City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Kruisfontein,ZA,2021-10-03 19:51:28,-34.0033,24.7314,53.89,78,58,4.9,broken clouds
131,Lebu,CL,2021-10-03 19:56:14,-37.6167,-73.65,52.21,71,0,22.24,clear sky
132,Eyl,SO,2021-10-03 19:52:24,7.9803,49.8164,77.99,85,58,16.89,broken clouds
133,Upernavik,GL,2021-10-03 19:48:34,72.7868,-56.1549,30.69,91,100,4.59,light snow
134,Ancud,CL,2021-10-03 19:48:59,-41.8697,-73.8203,51.33,68,99,11.16,overcast clouds
135,Belaya Gora,RU,2021-10-03 19:59:38,68.5333,146.4167,21.16,87,94,5.12,overcast clouds
136,Sinnamary,GF,2021-10-03 19:59:39,5.3833,-52.95,84.29,68,38,11.68,scattered clouds
137,Vung Tau,VN,2021-10-03 19:59:39,10.346,107.0843,79.56,81,100,3.4,heavy intensity rain
138,Veshenskaya,RU,2021-10-03 19:59:39,49.6303,41.7334,46.9,76,6,7.87,clear sky
139,Mwense,ZM,2021-10-03 19:59:40,-10.3845,28.698,72.46,75,68,1.5,broken clouds
140,Sirjan,IR,2021-10-03 19:50:15,29.452,55.6814,68.95,23,32,4.74,scattered clouds
141,Flinders,AU,2021-10-03 19:59:40,-34.5833,150.8552,62.8,82,90,1.01,overcast clouds
142,Sao Joao Da Barra,BR,2021-10-03 19:50:36,-21.6403,-41.0511,82.49,79,2,21.5,clear sky
143,Bogota,CO,2021-10-03 19:57:43,4.6097,-74.0817,69.31,40,75,6.91,broken clouds
144,Saint-Michel-Des-Saints,CA,2021-10-03 19:59:41,46.6834,-73.9159,58.93,45,3,5.1,clear sky
145,Tuatapere,NZ,2021-10-03 19:53:22,-46.1333,167.6833,44.82,93,100,3.33,overcast clouds
146,Kijang,KR,2021-10-03 19:59:42,35.2442,129.2139,65.93,89,48,6.64,scattered clouds
147,Sao Gabriel,BR,2021-10-03 19:59:42,-30.3364,-54.32,65.14,76,96,16.24,overcast clouds
148,Codrington,AU,2021-10-03 19:50:45,-38.2667,141.9667,51.06,88,73,17.47,light rain
149,Leningradskiy,RU,2021-10-03 19:50:53,69.3833,178.4167,17.67,84,94,4.34,overcast clouds
150,Marsh Harbour,BS,2021-10-03 19:59:40,26.5412,-77.0636,80.47,66,1,10.49,clear sky
151,Itoman,JP,2021-10-03 19:59:44,26.1247,127.6694,80.62,65,20,16.11,few clouds
152,Masvingo,ZW,2021-10-03 19:59:44,-20.0637,30.8277,67.53,73,99,9.19,overcast clouds
153,Thompson,CA,2021-10-03 19:50:39,55.7435,-97.8558,64.56,45,75,8.05,broken clouds
154,Turayf,SA,2021-10-03 19:59:45,31.6725,38.6637,71.85,64,0,13.8,clear sky
155,Puerto Ayora,EC,2021-10-03 19:50:33,-0.7393,-90.3518,72.46,77,31,11.03,scattered clouds
156,Kavieng,PG,2021-10-03 19:48:20,-2.5744,150.7967,81.03,75,100,3.83,overcast clouds
157,Yellowknife,CA,2021-10-03 19:48:39,62.456,-114.3525,53.42,47,20,9.22,few clouds
158,Zuwarah,LY,2021-10-03 19:59:46,32.9312,12.082,77.13,66,2,14.29,clear sky
159,Bengkulu,ID,2021-10-03 19:49:07,-3.8004,102.2655,74.77,90,100,3.11,overcast clouds
160,Bredasdorp,ZA,2021-10-03 19:46:04,-34.5322,20.0403,49.32,87,39,3.44,scattered clouds
161,Gbadolite,CD,2021-10-03 19:59:48,4.2833,21.0167,75.96,76,59,0.2,broken clouds
162,Akureyri,IS,2021-10-03 19:59:48,65.6835,-18.0878,44.53,93,75,11.5,broken clouds
163,Kodiak,US,2021-10-03 19:47:26,57.79,-152.4072,42.31,52,1,14.97,clear sky
164,San Carlos De Bariloche,AR,2021-10-03 19:59:49,-41.1456,-71.3082,47.95,46,40,24.16,scattered clouds
165,Gat,IL,2021-10-03 19:48:32,31.61,34.7642,75.88,71,21,6.35,few clouds
166,Lompoc,US,2021-10-03 19:49:44,34.6391,-120.4579,97.21,43,1,4.0,clear sky
167,Pevek,RU,2021-10-03 19:49:22,69.7008,170.3133,23.7,91,99,7.43,overcast clouds
168,Iwaki,JP,2021-10-03 19:59:50,37.05,140.8833,70.23,96,0,1.01,clear sky
169,Jiblah,YE,2021-10-03 19:59:50,13.9216,44.1467,61.09,81,100,2.64,overcast clouds
170,Ucluelet,CA,2021-10-03 19:57:26,48.9329,-125.5528,62.96,82,86,3.0,overcast clouds
171,Moletai,LT,2021-10-03 19:59:51,55.2333,25.4167,51.12,70,94,11.88,overcast clouds
172,Tripoli,LY,2021-10-03 19:59:52,32.8752,13.1875,76.6,64,0,11.5,clear sky
173,Marquette,US,2021-10-03 19:59:52,46.5333,-87.6335,62.37,95,100,4.63,overcast clouds
174,Kitgum,UG,2021-10-03 19:59:53,3.2783,32.8867,66.78,92,30,2.39,scattered clouds
175,Alekseyevsk,RU,2021-10-03 19:59:53,57.8406,108.3492,31.71,93,100,1.36,overcast clouds
176,Pokhara,NP,2021-10-03 19:55:57,28.2333,83.9833,67.15,95,24,1.57,few clouds
177,Samarai,PG,2021-10-03 19:59:55,-10.6167,150.6667,79.74,82,50,6.26,scattered clouds
178,Jumla,NP,2021-10-03 19:59:55,29.2747,82.1838,55.8,89,75,2.3,broken clouds
179,Cockburn Town,TC,2021-10-03 19:47:54,21.4612,-71.1419,78.76,78,75,13.8,broken clouds
180,Kigoma,TZ,2021-10-03 19:59:56,-4.8769,29.6267,75.92,77,94,17.36,overcast clouds
181,Kaeo,NZ,2021-10-03 19:49:21,-35.1,173.7833,63.32,97,100,12.57,light rain
182,Manoel Urbano,BR,2021-10-03 19:59:57,-8.8389,-69.2597,89.85,52,84,1.5,broken clouds
183,Nassau,US,2021-10-03 19:59:58,40.7507,-73.5829,81.68,65,84,1.99,broken clouds
184,Carutapera,BR,2021-10-03 19:59:58,-1.195,-46.02,82.98,70,100,11.07,overcast clouds
185,Montepuez,MZ,2021-10-03 19:59:58,-13.1256,38.9997,70.88,58,31,9.82,scattered clouds
186,Yeppoon,AU,2021-10-03 19:57:05,-23.1333,150.7333,73.18,93,2,3.24,clear sky
187,Turinsk,RU,2021-10-03 19:59:59,58.0458,63.696,29.55,84,93,6.91,overcast clouds
188,Tiksi,RU,2021-10-03 19:49:19,71.6872,128.8694,24.71,88,97,13.0,overcast clouds
189,Moncton,CA,2021-10-03 19:57:57,46.1159,-64.8019,59.59,79,75,3.44,broken clouds
190,Baykit,RU,2021-10-03 19:57:37,61.67,96.37,34.56,94,98,1.03,overcast clouds
191,Ponta Do Sol,PT,2021-10-03 19:48:58,32.6667,-17.1,76.01,77,100,3.29,overcast clouds
192,Conceicao Do Araguaia,BR,2021-10-03 20:00:01,-8.2578,-49.2647,87.94,47,99,1.52,overcast clouds
193,Simpang,ID,2021-10-03 20:00:01,-1.2667,104.0833,73.53,91,98,1.5,overcast clouds
194,Pelym,RU,2021-10-03 20:00:03,61.0108,61.9978,27.61,89,13,4.29,few clouds
195,Ulaangom,MN,2021-10-03 20:00:06,49.9811,92.0667,33.28,60,53,4.76,broken clouds
196,At-Bashi,KG,2021-10-03 20:00:09,41.1702,75.8106,42.98,80,100,2.17,overcast clouds
197,Oranjemund,NA,2021-10-03 20:00:11,-28.55,16.4333,55.18,80,0,23.94,clear sky
198,Puerto Escondido,MX,2021-10-03 19:51:08,15.85,-97.0667,86.13,70,20,6.93,few clouds
199,Samdari,IN,2021-10-03 20:00:12,25.8167,72.5833,83.59,56,14,8.14,few clouds
200,Broome,US,2021-10-03 19:49:13,42.2506,-75.833,67.55,80,90,3.0,light rain
201,Belyy Yar,RU,2021-10-03 20:00:13,53.6039,91.3903,28.29,86,59,2.24,broken clouds
202,Paamiut,GL,2021-10-03 19:51:19,61.994,-49.6678,39.47,72,0,7.38,clear sky
203,Dennery,LC,2021-10-03 20:00:14,13.8996,-60.8879,85.55,65,28,18.01,scattered clouds
204,Caravelas,BR,2021-10-03 19:52:03,-17.7125,-39.2481,77.83,77,6,13.42,clear sky
205,Ambon,ID,2021-10-03 20:00:15,-3.6954,128.1814,78.46,77,100,6.17,overcast clouds
206,Tororo,UG,2021-10-03 20:00:16,0.693,34.1809,64.99,88,100,3.36,light rain
207,Ejido,VE,2021-10-03 20:00:16,8.5514,-71.2375,75.9,81,98,2.19,overcast clouds
208,Jamestown,US,2021-10-03 19:47:34,42.097,-79.2353,70.09,71,90,4.0,mist
209,Fethiye,TR,2021-10-03 20:00:17,36.6217,29.1164,69.67,37,0,6.64,clear sky
210,Key West,US,2021-10-03 19:57:04,24.5557,-81.7826,84.99,74,28,15.55,scattered clouds
211,Port Blair,IN,2021-10-03 19:50:26,11.6667,92.75,80.35,81,19,6.62,moderate rain
212,Ulladulla,AU,2021-10-03 19:53:26,-35.35,150.4667,59.9,85,95,3.36,overcast clouds
213,Santa Vitoria Do Palmar,BR,2021-10-03 19:53:18,-33.5189,-53.3681,58.95,63,75,10.22,broken clouds
214,Sosnovo-Ozerskoye,RU,2021-10-03 20:00:18,52.5249,111.5418,29.82,86,100,8.14,overcast clouds
215,Bafq,IR,2021-10-03 20:00:19,31.6128,55.4107,72.01,26,0,8.21,clear sky
216,Ayan,RU,2021-10-03 20:00:19,56.45,138.1667,39.0,61,84,15.17,broken clouds
217,Goderich,CA,2021-10-03 19:57:18,43.7501,-81.7165,72.21,88,97,3.44,overcast clouds
218,Morehead,US,2021-10-03 20:00:20,37.2711,-87.1764,80.31,65,75,8.05,broken clouds
219,Sept-Iles,CA,2021-10-03 20:00:21,50.2001,-66.3821,48.78,73,99,0.74,overcast clouds
220,Mount Gambier,AU,2021-10-03 19:52:04,-37.8333,140.7667,49.91,93,75,10.36,broken clouds
221,Esperance,AU,2021-10-03 19:50:32,-33.8667,121.9,42.64,71,69,9.57,broken clouds
222,Vila,PT,2021-10-03 19:51:01,42.0304,-8.1588,50.94,84,27,1.59,scattered clouds
223,Ostrovnoy,RU,2021-10-03 19:51:15,68.0531,39.5131,44.33,87,15,21.45,few clouds
